id;course;title
100-01;Fundamentos;O mapa do mundo: OSS, Cluster e Redis Cloud
100-02;Fundamentos;Conectar com Jedis e Lettuce
100-03;Fundamentos;Redis Insight: enxergando o reino
100-04;Fundamentos;Chaves, TTL e SCAN
100-05;Fundamentos;Pipeline: cem comandos, uma viagem
101-01;Tipos;String: sessão e cooldown de habilidade
101-02;Tipos;Hash: a ficha do personagem
101-03;Tipos;List: a fila da dungeon
101-04;Tipos;Set: conquistas e loot aleatório
101-05;Tipos;Sorted Set: o ranking do servidor
101-06;Tipos;Bloom: esse baú já foi aberto?
102-01;Eventos;Pub/Sub: o chat da zona
102-02;Eventos;Streams: o diário de combate
102-03;Eventos;Consumer groups: guildas processando o loot
102-04;Eventos;Conexões bloqueantes: 31 jogadores na fila
201-01;Busca;JSON e FT.SEARCH: a casa de leilões
201-02;Busca;FT.AGGREGATE: a economia do reino
201-03;Busca;FT.HYBRID: busca híbrida
201-04;Busca;Vector sets: itens parecidos
301-01;Produção;Timeouts, pool e retry
301-02;Produção;Client-side caching
301-03;Produção;TLS
301-04;Produção;Smart client handoffs
301-05;Produção;Active-Active e failover geográfico
